      1 - stats, VEH, VEH, 95.898700205887, vehBack.2, rx,(102.591,98.35,0), 20, 
      1 - stats, VEH, VEH, 95.937676992357, vehBack.0, rx,(9.19468,98.35,0), 19, 
      1 - stats, VEH, VEH, 95.937676992357, vehBack.1, rx,(56.3863,98.35,0), 20, 
      1 - stats, VEH, VEH, 95.937676992357, vehBack.3, rx,(127.862,98.35,0), 20, 
      1 - stats, VEH, VEH, 95.937676992357, veh.4, rx,(164.761,101.65,0), 20, 
      1 - stats, VEH, VPA, 100.520132849832, vehBack.2, rx,(33.4811,98.35,0), 21, 
      1 - stats, VEH, VPA, 100.520132849832, vehBack.3, rx,(82.4275,98.35,0), 21, 
      1 - stats, VEH, VEH, 101.015688270576, vehBack.4, rx,(236.602,98.35,0), 20, 
      1 - stats, VEH, VEH, 101.767919791233, vehBack.2, rx,(24.6799,98.35,0), 21, 
      1 - stats, VEH, VEH, 101.767919791233, vehBack.3, rx,(63.0018,98.35,0), 21, 
      1 - stats, VEH, VEH, 101.767919791233, veh.5, rx,(7.6,101.65,0), 20, 
      1 - stats, VEH, VEH, 106.394836427738, veh.4, rx,(279.664,101.65,0), 20, 
      1 - stats, VEH, VEH, 106.903075943311, veh.5, rx,(53.313,101.65,0), 21, 
      1 - stats, VEH, VEH, 107.481146204417, vehBack.3, rx,(12.5228,98.35,0), 21, 
      1 - stats, VEH, VPA, 110.396683434323, vehBack.4, rx,(121.359,98.35,0), 23, 
      1 - stats, VEH, VPA, 110.396683434323, veh.5, rx,(100.305,101.65,0), 23, 
      1 - stats, VEH, VEH, 112.2150361922, vehBack.5, rx,(394.598,98.35,0), 20, 
      1  112.2150361922 
      1 - stats, VEH, VPA, 115.402280702237, vehBack.4, rx,(63.6717,98.35,0), 24, 
      1 - stats, VEH, VPA, 115.402280702237, veh.5, rx,(146.149,101.65,0), 24, 
      1 - stats, VEH, VEH, 115.546596110862, vehBack.4, rx,(61.4715,98.35,0), 24, 
      1 - stats, VEH, VEH, 116.59730222144, vehBack.5, rx,(325.479,98.35,0), 20, 
      1 - stats, VEH, VEH, 121.986209824158, veh.5, rx,(215.873,101.65,0), 24, 
      1 - stats, VEH, VEH, 121.986209824158, vehBack.5, rx,(314.703,98.35,0), 20, 
      1 - stats, VEH, VEH, 122.304908969808, veh.4, rx,(305.243,101.65,0), 20, 
      1 - stats, VEH, VEH, 122.304908969808, veh.5, rx,(221.731,101.65,0), 24, 
      1 - stats, VEH, VEH, 127.699575828747, veh.4, rx,(305.243,101.65,0), 20, 
      1 - stats, VEH, VEH, 127.699575828747, veh.5, rx,(293.986,101.65,0), 24, 
      1 - stats, VEH, VEH, 128.135024411001, veh.5, rx,(293.639,101.65,0), 24, 
      1 - stats, VEH, VEH, 128.135024411001, vehBack.5, rx,(314.75,98.35,0), 20, 
      1 - stats, VEH, VPA, 130.383393368423, veh.6, rx,(101.563,101.65,0), 27, 
      1 - stats, VEH, VEH, 132.928187390755, veh.5, rx,(297.956,101.65,0), 24, 
      1 - stats, VEH, VEH, 132.928187390755, vehBack.5, rx,(314.75,98.35,0), 20, 
      1 - stats, VEH, VEH, 132.928187390755, vehBack.6, rx,(388.207,98.35,0), 20, 
      1  132.928187390755 
