ID: 266688118 Coord: [28608.36, 36192.73]
ID: 266688272 Coord: [28652.6, 36111.25]
ID: 266688122 Coord: [28671.92, 36066.38]
ID: 85933689 Coord: [28649.73, 35957.37]
ID: 266688279 Coord: [28519.18, 36066.05]
ID: 87266458 Coord: [17431.47, 31288.85]
ID: 274347791 Coord: [17376.24, 31219.48]
ID: 87266845 Coord: [17597.13, 31304.48]
ID: 87266460 Coord: [17661.46, 31314.69]
ID: 276520978 Coord: [17840.04, 31311.41]
ID: 276983211 Coord: [18310.14, 31276.09]
ID: 128259388 Coord: [17657.04, 31084.25]
ID: 272687836 Coord: [17675.63, 30967.62]
ID: 128260095 Coord: [17851.83, 30963.72]
ID: 281530959 Coord: [24505.65, 37126.02]
ID: 87269285 Coord: [24581.67, 37277.04]
ID: 87269303 Coord: [24628.5, 37017.37]
ID: 38505502 Coord: [18542.31, 31252.46]
ID: 87302045 Coord: [21053.38, 36091.94]
ID: 87302811 Coord: [21096.13, 35936.65]
ID: 277039068 Coord: [16519.89, 18142.86]
ID: 87328082 Coord: [16452.46, 18155.01]
ID: 63485882 Coord: [16603.97, 18107.55]
ID: 63485890 Coord: [16527.36, 18049.82]
ID: 87328083 Coord: [16450.19, 18051.9]
ID: 60069343 Coord: [16600.23, 18050.28]
ID: 87693792 Coord: [18027.57, 37192.44]
ID: 87693791 Coord: [18038.29, 37230.68]
ID: 87728702 Coord: [19922.96, 30792.01]
ID: 87728700 Coord: [20124.33, 30980.8]
ID: 87729311 Coord: [20005.63, 31669.57]
ID: 87729233 Coord: [19746.93, 31584.1]
ID: 87728965 Coord: [19995.14, 31838.53]
ID: 87729310 Coord: [20130.07, 31686.04]
ID: 267927248 Coord: [18638.08, 19574.3]
ID: 775284278 Coord: [18643.77, 19410.37]
ID: 267927302 Coord: [18630.84, 19688.54]
ID: 451698455 Coord: [18627.03, 19856.81]
ID: 55063193 Coord: [18628.5, 19924.63]
ID: 55063194 Coord: [18639.02, 20061.89]
ID: 451696524 Coord: [18637.02, 20151.44]
ID: 269917849 Coord: [18659.32, 20367.74]
ID: 55063200 Coord: [18668.85, 20417.59]
ID: 269917114 Coord: [18675.91, 20428.62]
ID: 277433131 Coord: [18289.43, 20596.83]
ID: 73538068 Coord: [18153.08, 20597.9]
ID: 647246445 Coord: [18297.1, 20601.72]
ID: 271358878 Coord: [18322.21, 20617.15]
ID: 87749155 Coord: [18385.56, 20654.72]
ID: 87747643 Coord: [18533.42, 20746.95]
ID: 270109204 Coord: [18427.29, 20824.01]
ID: 87753344 Coord: [18357.62, 20856.06]
ID: 268196061 Coord: [18502.74, 20781.12]
ID: 87748899 Coord: [18531.33, 20762.42]
ID: 647246446 Coord: [18509.96, 20425.99]
ID: 442678 Coord: [18533.84, 20303.49]
ID: 318199862 Coord: [18544.19, 20547.07]
ID: 87749157 Coord: [18548.17, 20560.11]
ID: 87749072 Coord: [18577.62, 20633.67]
ID: 318199886 Coord: [18476.13, 20596.45]
ID: 87749327 Coord: [18482.98, 20593.39]
ID: 87749186 Coord: [18406.81, 20631.55]
ID: 87749185 Coord: [18382.92, 20588.6]
ID: 87752438 Coord: [18657.49, 20786.91]
ID: 87752265 Coord: [18637.19, 20810.09]
ID: 87748569 Coord: [18570.41, 21106.74]
ID: 87752815 Coord: [18536.77, 21041.9]
ID: 87753103 Coord: [18471.99, 21032.83]
ID: 73538072 Coord: [18365.73, 21013.63]
ID: 73538071 Coord: [18315.63, 20857.07]
ID: 87754251 Coord: [18460.07, 20882.76]
ID: 87754250 Coord: [18405.8, 20927.55]
ID: 87754791 Coord: [18531.99, 20851.63]
ID: 583036665 Coord: [18733.95, 20929.3]
ID: 87755044 Coord: [18686.5, 20950.22]
ID: 87755046 Coord: [18758.15, 20919.16]
ID: 583036680 Coord: [18775.93, 20911.38]
ID: 332046270 Coord: [19002.69, 23623.43]
ID: 72984123 Coord: [18988.68, 23619.16]
ID: 332046725 Coord: [19030.44, 23631.73]
ID: 73358881 Coord: [19095.44, 23630.9]
ID: 73358885 Coord: [19128.41, 23601.75]
ID: 88280825 Coord: [15835.65, 5935.65]
ID: 88280824 Coord: [15896.88, 5946.15]
ID: 88280829 Coord: [15571.71, 5807.94]
ID: 344320245 Coord: [15466.34, 6296.81]
ID: 88282917 Coord: [15372.97, 6267.24]
ID: 88282920 Coord: [15509.05, 6305.87]
ID: 88283237 Coord: [15222.59, 6344.3]
ID: 216469197 Coord: [15346.26, 6260.04]
ID: 216469234 Coord: [15103.51, 6533.85]
ID: 814748277 Coord: [15324.54, 6397.59]
ID: 216469185 Coord: [15355.66, 6276.18]
ID: 88285503 Coord: [15288.07, 6556.5]
ID: 88288689 Coord: [14373.86, 8701.4]
ID: 266397903 Coord: [14236.07, 8611.96]
ID: 88289196 Coord: [14381.25, 8828.81]
ID: 175320200 Coord: [14209.99, 8847.86]
ID: 88289207 Coord: [14617.41, 9062.64]
ID: 88289528 Coord: [14193.24, 8959.46]
ID: 88289530 Coord: [14188.66, 9019.89]
ID: 335768401 Coord: [13275.28, 10285.94]
ID: 88296015 Coord: [13230.1, 10294.11]
ID: 447162680 Coord: [13438.22, 10256.5]
ID: 88291085 Coord: [13477.45, 10249.42]
ID: 335768431 Coord: [13198.75, 10313.92]
ID: 88296020 Coord: [12949.76, 10471.01]
ID: 88296023 Coord: [12873.88, 10591.26]
ID: 429162172 Coord: [12244.02, 11965.44]
ID: 670958628 Coord: [12269.21, 11851.94]
ID: 279299971 Coord: [11414.91, 12841.05]
ID: 670955591 Coord: [11653.77, 12659.64]
ID: 429162176 Coord: [11225.13, 12956.73]
ID: 284165244 Coord: [11179.85, 12985.94]
ID: 538986782 Coord: [6046.72, 16548.93]
ID: 266994387 Coord: [6238.02, 16605.59]
ID: 271686329 Coord: [5916.01, 16397.66]
ID: 281445160 Coord: [5801.69, 16208.31]
ID: 267670122 Coord: [5734.06, 16113.54]
ID: 254613358 Coord: [5688.02, 16003.8]
ID: 288117701 Coord: [8915.57, 12169.32]
ID: 88318764 Coord: [8892.22, 12171.51]
ID: 55258174 Coord: [9014.0, 12164.73]
ID: 55262250 Coord: [9160.24, 12146.18]
ID: 88319599 Coord: [9307.35, 12109.05]
ID: 276066737 Coord: [9588.67, 12042.59]
ID: 88320292 Coord: [9330.34, 12103.77]
ID: 609048145 Coord: [9875.05, 12061.91]
ID: 88320302 Coord: [9840.82, 12025.37]
ID: 280948377 Coord: [10389.73, 11885.59]
ID: 55272119 Coord: [10395.65, 11894.19]
ID: 280948382 Coord: [10400.48, 11886.62]
ID: 280951951 Coord: [10441.54, 11810.86]
ID: 317047483 Coord: [11236.14, 8244.54]
ID: 88328938 Coord: [11314.23, 8131.11]
ID: 88331310 Coord: [12136.37, 8087.94]
ID: 88330219 Coord: [12157.84, 8131.69]
ID: 318143602 Coord: [11881.03, 7566.45]
ID: 187962230 Coord: [11708.83, 7194.02]
ID: 255998393 Coord: [11602.31, 6995.59]
